name	ncbi_taxid
Promicromonosporaceae	NCBITaxon:85017
Isoptericola	NCBITaxon:254250
Methylophilus	NCBITaxon:16
Desulfovirga	NCBITaxon:149711
Polynucleobacter	NCBITaxon:44013
Actinoallomurus	NCBITaxon:667113
Lactococcus	NCBITaxon:1357
Thiohalomonas	NCBITaxon:397268
Asaia	NCBITaxon:91914
Limnobacter	NCBITaxon:131079
Ochrobactrum	NCBITaxon:528
Lacibacter	NCBITaxon:649461
Clostridium XI	null
Collimonas	NCBITaxon:202907
Rikenellaceae	NCBITaxon:171550
Alistipes	NCBITaxon:239759
Nakamurellaceae	NCBITaxon:85031
Humicoccus	null
Tepidimonas	NCBITaxon:114248
Sutterellaceae	NCBITaxon:995019
Parasutterella	NCBITaxon:577310
Coprococcus	NCBITaxon:33042
Sedimentibacter	NCBITaxon:190972
Methylocystaceae	NCBITaxon:31993
Methylocystis	NCBITaxon:133
Geothrix	NCBITaxon:44675
Leuconostocaceae	NCBITaxon:81850
Leuconostoc	NCBITaxon:1243
Azospira	NCBITaxon:146937
Chelatococcus	NCBITaxon:28209
Paraprevotella	NCBITaxon:577309
Faecalibacterium	NCBITaxon:216851
Desulfocapsa	NCBITaxon:53318
Catelliglobosispora	NCBITaxon:1121253
Ruminococcus	NCBITaxon:1263
Nitrosomonas	NCBITaxon:914
Veillonella	NCBITaxon:29465
Thermomonas	NCBITaxon:141948
Wautersiella	NCBITaxon:343873
Dialister	NCBITaxon:39948
Dactylosporangium	NCBITaxon:35753
Buttiauxella	NCBITaxon:82976
Phaeobacter	NCBITaxon:302485
Tenericutes	NCBITaxon:544448
Mollicutes	NCBITaxon:31969
Mycoplasmatales	NCBITaxon:2085
Mycoplasmataceae	NCBITaxon:2092
Mycoplasma	NCBITaxon:2093
Erysipelotrichia	NCBITaxon:526524
Erysipelotrichales	NCBITaxon:526525
Erysipelotrichaceae	NCBITaxon:128827
Erysipelothrix	NCBITaxon:1647
Asticcacaulis	NCBITaxon:76890
Acidobacteria_Gp9	null
Gp9	null
Rhizobacter	NCBITaxon:212743
Fusobacteriaceae	NCBITaxon:203492
Fusobacterium	NCBITaxon:848
Rhizobiales_incertae_sedis	null
Bauldia	NCBITaxon:1145345
Sporacetigenium	NCBITaxon:360541
Capnocytophaga	NCBITaxon:1016
Mesorhizobium	NCBITaxon:68287
Leeia	NCBITaxon:650341
Virgisporangium	NCBITaxon:65504
Cellulosilyticum	NCBITaxon:698776
Deferribacteres	null
Deferribacterales	NCBITaxon:191393
Deferribacteraceae	NCBITaxon:191394
Deferribacter	NCBITaxon:53572
Acidobacteria_Gp25	null
Gp25	null
Methylobacter	NCBITaxon:429
Vogesella	NCBITaxon:57739
OP11	null
OP11_genera_incertae_sedis	null
Perlucidibaca	NCBITaxon:661182
Denitratisoma	NCBITaxon:311181
Alkanibacter	NCBITaxon:568387
Bifidobacteriales	NCBITaxon:85004
Bifidobacteriaceae	NCBITaxon:31953
Bifidobacterium	NCBITaxon:1678
Acidobacteria_Gp24	null
Gp24	null
Desulforegula	NCBITaxon:153027
Altererythrobacter	NCBITaxon:361177
