process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW101-7-26-12	Community: GW101-7-26-12 0.2 micron filter B
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW300-59-10-19-12	Community: FW300-59-10-19-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW101-7-26-12	Community: GW101-7-26-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW300-59-10-19-12	Community: FW300-59-10-19-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW101-7-26-12	Community: GW101-7-26-12 10 micron filter B
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW301-7-25-12	Community: FW301-7-25-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW148-12-17-12	Community: GW148-12-17-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW301-7-25-12	Community: FW301-7-25-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW105-12-11-12	Community: GW105-12-11-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW301-81-10-19-12	Community: FW301-81-10-19-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW105-12-11-12	Community: GW105-12-11-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW301-81-10-19-12	Community: FW301-81-10-19-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW107-91-12-11-12	Community: GW107-91-12-11-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW301-81-2-20-13	Community: FW301-81-2-20-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW107-91-12-11-12	Community: GW107-91-12-11-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW301-81-2-20-13	Community: FW301-81-2-20-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW115-2-11-26-12	Community: GW115-2-11-26-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW303-11-10-23-12	Community: FW303-11-10-23-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW115-2-11-26-12	Community: GW115-2-11-26-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW303-11-10-23-12	Community: FW303-11-10-23-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW115-2-11-26-12	Community: GW115-2-11-26-12 10 micron filter B
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW303-11-2-20-13	Community: FW303-11-2-20-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW122-78-11-14-12	Community: GW122-78-11-14-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW410-28-46-11-13-12	Community: FW410-28-46-11-13-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW122-78-11-14-12	Community: GW122-78-11-14-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW410-28-46-11-13-12	Community: FW410-28-46-11-13-12 10 micron filter
