process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-384	Sample: GW384-12-17-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-384	Sample: GW384-12-17-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-621	Sample: GW621-21-12-17-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-621	Sample: GW621-21-12-17-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-706	Sample: GW706-96-12-17-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-706	Sample: GW706-96-12-17-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-089	Sample: GW089-62-1-7-13
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-089	Sample: GW089-62-1-7-13 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-654	Sample: GW654-0-1-7-13
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-654	Sample: GW654-0-1-7-13 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-753	Sample: GW753-79-1-7-13
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-753	Sample: GW753-79-1-7-13 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-754	Sample: GW754-40-1-7-13
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-07	2013-01-07	Well: GW-754	Sample: GW754-40-1-7-13 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-08	2013-01-08	Well: GW-056	Sample: GW056-87-1-8-13
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-08	2013-01-08	Well: GW-056	Sample: GW056-87-1-8-13 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2013-01-08	2013-01-08	Well: GW-057	Sample: GW057-10-1-8-13
