name	read_count	read_type	sequencing_technology	link
GW384_12_17_12_02.reads	50430	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW384_12_17_12_02.reads
GW384_12_17_12_10.reads	46740	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW384_12_17_12_10.reads
GW385_80_2_18_13_02.reads	35630	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW385_80_2_18_13_02.reads
GW385_80_2_18_13_10.reads	56932	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW385_80_2_18_13_10.reads
GW526_15_11_17_12_02.reads	52076	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW526_15_11_17_12_02.reads
GW526_15_11_17_12_10.reads	34400	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW526_15_11_17_12_10.reads
GW531_83_11_28_12_02.reads	69678	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW531_83_11_28_12_02.reads
GW531_83_11_28_12_10.reads	67813	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW531_83_11_28_12_10.reads
GW533_48_11_28_12_02.reads	47267	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW533_48_11_28_12_02.reads
GW533_48_11_28_12_10.reads	55942	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW533_48_11_28_12_10.reads
GW537_24_11_26_12_02.reads	30267	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW537_24_11_26_12_02.reads
GW537_24_11_26_12_10.reads	43670	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW537_24_11_26_12_10.reads
GW60_1A_60_2_4_13_02.reads	26681	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW60_1A_60_2_4_13_02.reads
GW60_1A_60_2_4_13_10.reads	44875	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW60_1A_60_2_4_13_10.reads
GW621_21_12_17_12_02.reads	70474	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW621_21_12_17_12_02.reads
GW621_21_12_17_12_10.reads	100879	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW621_21_12_17_12_10.reads
GW631_98_12_11_12_02.reads	226662	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW631_98_12_11_12_02.reads
GW631_98_12_11_12_10.reads	200625	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW631_98_12_11_12_10.reads
GW636_32_1_28_13_02.reads	68690	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW636_32_1_28_13_02.reads
GW636_32_1_28_13_10.reads	41395	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW636_32_1_28_13_10.reads
GW639_90_1_23_13_02.reads	85277	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW639_90_1_23_13_02.reads
GW639_90_1_23_13_10.reads	2	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW639_90_1_23_13_10.reads
GW641_30_1_23_13_02.reads	70502	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW641_30_1_23_13_02.reads
GW641_30_1_23_13_10.reads	69274	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW641_30_1_23_13_10.reads
GW654_0_1_7_13_02.reads	42378	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW654_0_1_7_13_02.reads
GW654_0_1_7_13_10.reads	50013	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW654_0_1_7_13_10.reads
GW658_63_1_23_13_02.reads	49011	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW658_63_1_23_13_02.reads
GW658_63_1_23_13_10.reads	70782	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW658_63_1_23_13_10.reads
GW683_53_2_18_13_02.reads	63357	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW683_53_2_18_13_02.reads
GW683_53_2_18_13_10.reads	47142	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW683_53_2_18_13_10.reads
GW685_6_1_8_13_02.reads	40149	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW685_6_1_8_13_02.reads
GW685_6_1_8_13_10.reads	43901	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW685_6_1_8_13_10.reads
GW694_33_12_3_12_02.reads	64736	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW694_33_12_3_12_02.reads
