process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW066_71_2_20_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW066_71_2_20_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW084_56_11_28_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW084_56_11_28_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW085_58_12_3_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW085_58_12_3_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW086_25_12_3_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW086_25_12_3_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW089_62_1_7_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW089_62_1_7_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW098_57_1_22_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW098_57_1_22_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW101_11_13_12_02_b.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW101_11_13_12_10_b.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW101_7_25_12_02_b.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW101_7_25_12_3_b.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW105_12_11_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW105_12_11_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW107_91_12_11_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW107_91_12_11_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW115_2_11_26_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW115_2_11_26_12_10_b.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW122_78_11_14_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW122_78_11_14_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW123_93_11_14_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW123_93_11_14_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW125_85_2_20_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW125_85_2_20_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW127_16_11_26_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW127_16_11_26_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW148_12_17_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW148_12_17_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW151_12_12_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW151_12_12_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW162_37_2_19_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW162_37_2_19_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW190_22_12_11_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW190_22_12_11_12_10_b.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW198_41_2_11_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW198_41_2_11_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW199_42_1_28_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW199_42_1_28_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW220_50_12_12_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW220_50_12_12_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW223_39_1_8_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
