process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW736-14-12-3-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW105-12-11-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW105-12-11-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW107-91-12-11-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW107-91-12-11-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW190-22-12-11-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW190-22-12-11-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW631-98-12-11-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: GW631-98-12-11-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: PTMW02-4-12-11-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Sample: PTMW02-4-12-11-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Sample: GW151-12-12-12	Generic: hazen_field_100ws.hndarray
